"Time","システムエンジニア","インフラエンジニア","データエンジニア","AIエンジニア"
"2013-01-01",58,7,2,0
"2013-02-01",55,5,2,0
"2013-03-01",54,6,3,0
"2013-04-01",69,7,3,0
"2013-05-01",59,6,2,0
"2013-06-01",54,5,3,0
"2013-07-01",52,4,2,0
"2013-08-01",50,5,2,0
"2013-09-01",50,5,2,0
"2013-10-01",50,6,2,0
"2013-11-01",54,10,3,0
"2013-12-01",53,9,2,0
"2014-01-01",52,7,2,0
"2014-02-01",57,10,3,0
"2014-03-01",59,8,4,0
"2014-04-01",66,9,4,0
"2014-05-01",62,11,2,0
"2014-06-01",60,9,2,0
"2014-07-01",61,9,3,0
"2014-08-01",51,7,2,0
"2014-09-01",53,9,2,0
"2014-10-01",60,9,3,0
"2014-11-01",50,8,2,0
"2014-12-01",49,10,3,0
"2015-01-01",54,10,3,0
"2015-02-01",69,11,3,0
"2015-03-01",62,12,3,0
"2015-04-01",64,10,2,0
"2015-05-01",64,11,3,0
"2015-06-01",66,11,4,0
"2015-07-01",60,8,3,0
"2015-08-01",48,8,2,0
"2015-09-01",54,9,3,0
"2015-10-01",56,9,2,0
"2015-11-01",52,9,2,0
"2015-12-01",62,10,2,0
"2016-01-01",64,15,4,1
"2016-02-01",70,17,4,0
"2016-03-01",76,16,4,0
"2016-04-01",75,16,4,0
"2016-05-01",78,19,4,0
"2016-06-01",80,18,4,0
"2016-07-01",65,16,3,0
"2016-08-01",60,16,4,0
"2016-09-01",66,13,4,1
"2016-10-01",69,15,4,1
"2016-11-01",74,16,5,1
"2016-12-01",68,58,4,1
"2017-01-01",73,20,5,2
"2017-02-01",76,18,5,2
"2017-03-01",82,18,6,1
"2017-04-01",80,18,5,2
"2017-05-01",70,18,3,2
"2017-06-01",77,18,5,2
"2017-07-01",62,15,4,2
"2017-08-01",60,15,4,2
"2017-09-01",67,17,5,3
"2017-10-01",67,17,5,3
"2017-11-01",63,18,6,4
"2017-12-01",64,15,5,5
"2018-01-01",75,20,4,5
"2018-02-01",72,19,6,4
"2018-03-01",77,20,6,5
"2018-04-01",76,19,6,6
"2018-05-01",72,21,6,7
"2018-06-01",72,22,7,7
"2018-07-01",67,19,4,5
"2018-08-01",65,18,5,6
"2018-09-01",64,20,5,5
"2018-10-01",67,21,6,9
"2018-11-01",63,18,6,7
"2018-12-01",59,16,5,6
"2019-01-01",60,17,6,7
"2019-02-01",71,22,6,7
"2019-03-01",84,24,7,8
"2019-04-01",72,22,7,10
"2019-05-01",78,21,7,9
"2019-06-01",79,24,8,10
"2019-07-01",68,22,8,9
"2019-08-01",63,20,6,10
"2019-09-01",69,22,6,9
"2019-10-01",65,23,7,9
"2019-11-01",67,24,8,10
"2019-12-01",64,24,7,9
"2020-01-01",73,24,9,9
"2020-02-01",64,25,7,9
"2020-03-01",69,25,7,10
"2020-04-01",64,22,6,8
"2020-05-01",69,24,9,10
"2020-06-01",82,29,9,10
"2020-07-01",76,34,8,9
"2020-08-01",70,25,8,8
"2020-09-01",75,29,8,10
"2020-10-01",74,30,8,9
"2020-11-01",75,25,7,7
"2020-12-01",61,25,8,8
"2021-01-01",77,25,8,7
"2021-02-01",85,28,9,8
"2021-03-01",87,30,9,8
"2021-04-01",88,32,9,8
"2021-05-01",84,30,9,7
"2021-06-01",86,33,9,9
"2021-07-01",73,30,9,6
"2021-08-01",65,26,9,7
"2021-09-01",72,27,10,6
"2021-10-01",75,25,9,7
"2021-11-01",75,28,9,7
"2021-12-01",64,25,9,7
"2022-01-01",93,39,15,9
"2022-02-01",95,43,14,9
"2022-03-01",100,47,15,9
"2022-04-01",96,45,16,9
"2022-05-01",88,43,15,9
"2022-06-01",97,47,16,11
"2022-07-01",80,38,14,8
"2022-08-01",79,38,15,9
"2022-09-01",82,36,13,9
"2022-10-01",82,38,12,9
"2022-11-01",82,36,14,9
"2022-12-01",72,36,12,9
"2023-01-01",84,40,14,10
"2023-02-01",91,42,16,12
"2023-03-01",92,42,16,15
"2023-04-01",88,42,17,15
"2023-05-01",82,39,14,12
"2023-06-01",84,41,16,13
"2023-07-01",78,40,16,13
"2023-08-01",75,42,14,13
"2023-09-01",81,40,16,14
"2023-10-01",80,39,18,14
"2023-11-01",81,38,18,15
"2023-12-01",70,37,16,13
"2024-01-01",81,40,18,15
"2024-02-01",88,46,20,17
"2024-03-01",86,44,21,15
"2024-04-01",90,49,22,21
"2024-05-01",84,46,19,20
"2024-06-01",86,45,20,22
"2024-07-01",81,40,17,19
"2024-08-01",66,32,17,16
"2024-09-01",79,37,19,17
"2024-10-01",81,43,20,21
"2024-11-01",75,38,17,18
"2024-12-01",71,34,18,19
"2025-01-01",79,35,18,23
"2025-02-01",83,44,20,27
"2025-03-01",83,42,20,25
"2025-04-01",84,45,23,28
"2025-05-01",77,39,18,29
"2025-06-01",78,42,21,34
"2025-07-01",66,34,17,30
"2025-08-01",59,33,16,24
"2025-09-01",64,36,17,24
"2025-10-01",66,35,17,24
"2025-11-01",65,34,15,29
"2025-12-01",59,28,16,28